집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
2024-01-02,1,2,27,1,38203,284,181,228,194,2541,41631
2024-01-02,1,2,8,0,66341,1326,1558,1543,6528,3841,81137
2024-01-02,1,2,8,1,2845,23,9,3,25,142,3047
2024-01-02,1,2,26,1,15994,148,111,4,47,1785,18089
2024-01-02,1,2,44,0,85591,3390,2169,2120,5514,6587,105371
2024-01-02,1,2,44,1,4690,50,134,20,3,329,5226
2024-01-02,1,2,43,1,70052,1302,546,628,1098,3686,77312
2024-01-02,1,2,10,0,71949,1573,1879,1030,937,3680,81048
2024-01-02,1,2,10,1,6047,119,84,89,129,407,6875
2024-01-02,1,2,18,0,66302,4750,5172,4649,9943,3127,93943
2024-01-02,1,2,45,0,27976,786,2328,3011,4488,906,39495
2024-01-02,1,2,34,0,50588,1376,1591,743,2040,2172,58510
2024-01-02,1,2,28,0,60398,1559,991,699,686,4131,68464
2024-01-02,1,2,37,0,11983,612,557,1516,3984,1109,19761
2024-01-02,1,2,48,0,58180,3127,1692,1858,3445,3931,72233
2024-01-02,1,2,1,0,100361,2683,5805,5587,8554,2581,125571
2024-01-02,1,2,49,0,69535,4427,2390,3568,2552,4071,86543
2024-01-02,1,2,46,0,6404,341,381,624,1226,256,9232
2024-01-02,1,2,11,0,106334,3409,3035,2451,2602,6021,123852
2024-01-02,1,2,2,0,88836,3209,2394,3560,5995,3786,107780
2024-01-07,0,1,0,0,166300,1711,5034,4729,1252,1509,180535
2024-01-07,0,1,0,1,32148,390,664,426,117,4266,38011
2024-01-07,0,1,8,0,7591,45,110,143,131,39,8059
2024-01-07,0,1,8,1,8499,0,48,9,2,35,8593
2024-01-07,0,1,26,1,4997,18,44,5,4,451,5519
2024-01-07,0,1,44,0,3247,59,84,84,37,531,4042
2024-01-07,0,1,44,1,171,2,0,2,0,23,198
2024-01-07,0,1,42,1,7822,56,183,52,28,467,8608
2024-01-07,0,1,43,1,602,4,3,4,6,7,626
2024-01-07,0,1,10,0,4925,57,86,62,10,19,5159
2024-01-07,0,1,10,1,196,2,4,4,0,30,236
2024-01-07,0,1,18,0,4089,36,153,195,60,17,4550
2024-01-07,0,1,45,0,541,10,23,75,16,52,717
2024-01-07,0,1,34,0,1858,16,43,38,8,26,1989
2024-01-07,0,1,28,0,3256,28,35,25,2,269,3615
2024-01-07,0,1,37,0,1049,9,37,117,40,20,1272
2024-01-07,0,1,48,0,564,21,46,26,6,105,768
2024-01-07,0,1,1,0,2497,42,76,90,38,12,2755
2024-01-07,0,1,49,0,761,11,49,42,1,4,868
2024-01-07,0,1,46,0,192,4,7,0,3,26,232
2024-01-07,0,1,11,0,6538,51,143,94,24,215,7065
2024-01-07,0,1,2,0,5999,70,100,118,35,45,6367
2024-01-07,0,2,0,0,1873746,19820,44598,20392,20997,71208,2050761
2024-01-07,0,2,0,1,428463,3985,6475,2962,2710,20035,464630
2024-01-07,0,2,27,1,29622,108,81,53,24,1507,31395
2024-01-07,0,2,8,0,71306,318,803,341,1293,2909,76970
2024-01-07,0,2,8,1,4985,3,10,0,5,171,5174
2024-01-07,0,2,26,1,14171,51,90,1,5,1177,15495
2024-01-07,0,2,44,0,64789,841,1074,453,329,4075,71561
2024-01-07,0,2,44,1,2302,11,90,0,0,105,2508
2024-01-07,0,2,43,1,8847,36,12,4,111,388,9398
2024-01-07,0,2,24,1,2590,26,68,0,0,42,2726
2024-01-07,0,2,10,0,76652,378,1393,479,216,2859,81977
2024-01-07,0,2,10,1,3394,16,14,20,6,188,3638
2024-01-07,0,2,18,0,61303,751,2130,1083,1500,2736,69503
2024-01-07,0,2,45,0,35265,221,1303,723,1340,1069,39921
2024-01-07,0,2,34,0,55499,398,1354,198,295,1923,59667
2024-01-07,0,2,28,0,45035,432,416,136,98,2343,48460
2024-01-07,0,2,37,0,9553,116,232,448,843,675,11867
2024-01-07,0,2,48,0,32053,393,260,186,431,1726,35049
2024-01-07,0,2,1,0,115434,695,5365,1976,2048,2850,128368
2024-01-07,0,2,49,0,49110,1035,752,1225,357,2205,54684
2024-01-07,0,2,46,0,4343,62,190,119,163,162,5039
2024-01-07,0,2,11,0,73189,719,1149,577,433,3453,79520
2024-01-07,0,2,2,0,97002,942,1436,1416,1257,2937,104990
2024-01-07,1,1,0,0,176445,1857,5206,4413,1107,21264,210292
2024-01-07,1,1,0,1,31229,352,496,451,136,4134,36798
2024-01-07,1,1,8,0,7017,36,102,183,80,941,8359
2024-01-07,1,1,8,1,8559,17,36,6,2,44,8664
2024-01-07,1,1,26,1,6706,17,33,5,9,715,7485
2024-01-07,1,1,44,0,4780,94,102,104,42,720,5842
2024-01-07,1,1,44,1,245,1,0,1,0,36,283
2024-01-07,1,1,42,1,7402,65,148,38,25,456,8134
2024-01-07,1,1,43,1,3184,24,37,40,6,419,3710
